Company Name,Headquarters,Size,Type of ownership,Industry,Sector
GTA,"London, United Kingdom",501 to 1000 employees,Company - Private,Travel Agencies,Travel & Tourism
InfoWay Solutions LLC,"Hà Nội, Vietnam",1 to 50 employees,Company - Public,Internet,Information Technology
"The Brixton Group, Inc.","Charlotte, NC",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Analytical Mechanics Associates,"Hampton, VA",201 to 500 employees,Company - Private,Consulting,Business Services
ServiceLink,"Pittsburgh, PA",1001 to 5000 employees,Subsidiary or Business Segment,Lending,Finance
FleishmanHillard,"Saint Louis, MO",1001 to 5000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
Lob,"San Francisco, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Mary Kay,"Addison, TX",5001 to 10000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
YOH,"Philadelphia, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Global Technology Associates,"Reston, VA",201 to 500 employees,Contract,IT Services,Information Technology
"EITAcies, Inc.","Santa Clara, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
"ServiceLink, a Black Knight Company","Pittsburgh, PA",1001 to 5000 employees,Subsidiary or Business Segment,Lending,Finance
YASMESOFT INC,"Irving, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
DJO,"Dallas, TX",5001 to 10000 employees,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing
Dealersocket,"Dallas, TX",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology
Conduent,"Florham Park, NJ",10000+ employees,Company - Public,IT Services,Information Technology
L3Harris,"Melbourne, FL",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
V R Della Infotech Inc,"Dover, DE",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Axelon Services Corporation,"New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
IT Trailblazers,"North Brunswick, NJ",51 to 200 employees,Company - Private,Consulting,Business Services
DISYS,"Mc Lean, VA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Cincinnati Bell Technology Solutions,"Cincinnati, OH",501 to 1000 employees,Company - Private,IT Services,Information Technology
Toyota Connected,"Plano, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Noor Staffing,"New York, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Interstate Battery System of America Inc,"Dallas, TX",1001 to 5000 employees,Company - Private,"Department, Clothing, & Shoe Stores",Retail
Production Resource Group,"Armonk, NY",1001 to 5000 employees,Company - Private,Audiovisual,"Arts, Entertainment & Recreation"
Onyx CenterSource,"Dallas, TX",201 to 500 employees,Company - Private,Financial Transaction Processing,Finance
Staff Perm,"Dallas, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Gartner,"Stamford, CT",10000+ employees,Company - Public,Consulting,Business Services
InfoVision,"Richardson, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Eitacies,"Santa Clara, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Wingstop,"Dallas, TX",51 to 200 employees,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services"
ClientSolv Technologies,"Greenwood Village, CO",51 to 200 employees,Company - Private,IT Services,Information Technology
Della Infotech Inc.,"Dover, DE",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Horizontal Talent,"Minneapolis, MN",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Fairway Independent Mortgage,"Madison, WI",5001 to 10000 employees,Company - Private,Lending,Finance
Southwestern Family of Companies,"Nashville, TN",5001 to 10000 employees,Company - Private,Consulting,Business Services
Intelliswift Software Inc,"Newark, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
CoreLogic,"Irvine, CA",5001 to 10000 employees,Company - Public,IT Services,Information Technology
Juniper Networks,"Sunnyvale, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications
Plume,"Palo Alto, CA",51 to 200 employees,Company - Private,Internet,Information Technology
First Tech Federal Credit Union,"San Jose, CA",1001 to 5000 employees,Company - Private,Banks & Credit Unions,Finance
Netskope,"Santa Clara, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
CA-One Tech Cloud,"Fremont, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
C3.ai,"Redwood City, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Bruker Corporation,"Billerica, MA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Entefy,"Palo Alto, CA",1 to 50 employees,Company - Private,Internet,Information Technology
Amobee,"Redwood City, CA",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services
Architecture Technology Corporation,"Eden Prairie, MN",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
BillionToOne,"Palo Alto, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
GRAIL,"Menlo Park, CA",201 to 500 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Eversight,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Mentor Graphics,"Wilsonville, OR",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Western Digital,"San Jose, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Gigya,"Mountain View, CA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Jabil Circuit,"Saint Petersburg, FL",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Next Insurance,"Palo Alto, CA",201 to 500 employees,Company - Private,Insurance Carriers,Insurance
Pluto7,"Milpitas, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Mizuho OSI,"Union City, CA",201 to 500 employees,Company - Private,Industrial Manufacturing,Manufacturing
Match Relevant,"Laguna Beach, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Farmers Business Network,"San Carlos, CA",201 to 500 employees,Company - Private,Farm Support Services,Agriculture & Forestry
MoTek Technologies,"San Jose, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
Rivian,"Plymouth, MI",1001 to 5000 employees,Company - Private,Transportation Equipment Manufacturing,Manufacturing
SAP,"Walldorf, Germany",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Miles,"Redwood City, CA",1 to 50 employees,Company - Private,Internet,Information Technology
Lawrence Livermore National Lab,"Livermore, CA",1001 to 5000 employees,Government,Federal Agencies,Government
Genalyte,"San Diego, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Flexton,"San Jose, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
PROPRIUS,"London, United Kingdom",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Teladoc,"Purchase, NY",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Centraprise,"Edison, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
Epic,"Redwood City, CA",51 to 200 employees,Company - Private,Internet,Information Technology
Luminar Technologies,"Orlando, FL",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
Airtime,"New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology
BetterHelp,"Sunnyvale, CA",51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Vectra,"Columbus, OH",51 to 200 employees,Company - Private,Accounting,Accounting & Legal
Natera,"San Carlos, CA",501 to 1000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Livongo,"Mountain View, CA",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,Health Care
BitTiger,"Santa Clara, CA",1 to 50 employees,Company - Private,Education Training Services,Education
Blue River Technology,"Sunnyvale, CA",51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
Liftoff,"Redwood City, CA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services
Lab126,"Sunnyvale, CA",1001 to 5000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
SpringML,"Pleasanton, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
TechNet Inc.,"Alpharetta, GA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Applied Materials,"Santa Clara, CA",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Enjoy Technology,"Palo Alto, CA",1001 to 5000 employees,Company - Private,Consumer Electronics & Appliances Stores,Retail
Nuro,"Mountain View, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
LTI,"Mumbai, India",10000+ employees,Company - Public,IT Services,Information Technology
Course Hero,"Redwood City, CA",201 to 500 employees,Company - Private,Colleges & Universities,Education
Dtex Systems,"San Jose, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Karius,"Redwood City, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Stanford University School of Medicine,"Stanford, CA",5001 to 10000 employees,College / University,Colleges & Universities,Education
Venmo,"New York, NY",51 to 200 employees,Company - Public,Financial Transaction Processing,Finance
Risk Management Solutions (RMS),"Newark, CA",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Lucid Motors,"Newark, CA",1001 to 5000 employees,Company - Private,Transportation Equipment Manufacturing,Manufacturing
Chan Zuckerberg Initiative,"Redwood City, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
Box,"Redwood City, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
LeanData,"Sunnyvale, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Intelligence Communications and Engineering,"Sierra Vista, AZ",51 to 200 employees,Company - Private,Architectural & Engineering Services,Business Services
NVIDIA,"Santa Clara, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Edelman Financial Engines,"Sunnyvale, CA",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Carbon3D,"Redwood City, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Twitter,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
Scopus IT,"New York, NY",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Aisera,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Appen,"Sydney, Australia",1001 to 5000 employees,Company - Public,Consulting,Business Services
Earnin,"Palo Alto, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Accounting Principals,"Jacksonville, FL",501 to 1000 employees,Company - Public,Staffing & Outsourcing,Business Services
Bandai Namco Entertainment America,"Santa Clara, CA",51 to 200 employees,Subsidiary or Business Segment,Sports & Recreation,"Arts, Entertainment & Recreation"
Roche,"Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
"AppZen, Inc.","San Jose, CA",201 to 500 employees,Company - Private,Financial Transaction Processing,Finance
eHealth,"Santa Clara, CA",1001 to 5000 employees,Company - Public,Insurance Agencies & Brokerages,Insurance
Tredence,"San Jose, CA",501 to 1000 employees,Company - Private,Consulting,Business Services
Quantifind,"Menlo Park, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Alteryx,"Irvine, CA",1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
AppLovin,"Palo Alto, CA",201 to 500 employees,Company - Private,Video Games,Media
Cadence,"Los Angeles, CA",1 to 50 employees,Company - Private,Research & Development,Business Services
CDK Global,"Hoffman Estates, IL",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Astreya,"San Jose, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Absolute,"Vancouver, Canada",201 to 500 employees,Company - Public,Computer Hardware & Software,Information Technology
"Radiansys, Inc.","Fremont, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Chai,"Santa Clara, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Zipongo,"San Francisco, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Rivian Automotive,"Plymouth, MI",1001 to 5000 employees,Company - Private,Transportation Equipment Manufacturing,Manufacturing
Hiretual,"Mountain View, CA",1 to 50 employees,Company - Private,Internet,Information Technology
Kaygen Inc.,"Irvine, CA",1 to 50 employees,Company - Private,Consulting,Business Services
Telaria,"New York, NY",51 to 200 employees,Company - Public,Advertising & Marketing,Business Services
JD.com,"Beijing, China",5001 to 10000 employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
"PDS Tech, Inc.","Irving, TX",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
Splunk,"San Francisco, CA",1001 to 5000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Netflix,"Los Gatos, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
"Joomag, Inc.","Sunnyvale, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Passage AI,"Mountain View, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Talentry,"San Diego, CA",1 to 50 employees,Private Practice / Firm,IT Services,Information Technology
Pilot AI,"Palo Alto, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
HCL America Inc.,"Noida, India",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Niantic,"San Francisco, CA",501 to 1000 employees,Company - Private,Video Games,Media
Sartorius,"Gottingen, Germany",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Xilinx,"San Jose, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
OSI Engineering,"Campbell, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Humu,"Mountain View, CA",51 to 200 employees,Company - Private,Consulting,Business Services
Tesla Motors,"Palo Alto, CA",10000+ employees,Company - Public,Transportation Equipment Manufacturing,Manufacturing
AutoGrid Systems,"Redwood City, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Micron Technology,"Boise, ID",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Zolon Tech Solutions Inc.,"Herndon, VA",201 to 500 employees,Company - Private,IT Services,Information Technology
Nextgen Technologies,"San Jose, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Akamai,"Cambridge, MA",5001 to 10000 employees,Company - Public,IT Services,Information Technology
DataStax,"Santa Clara, CA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology
Power Integrations,"San Jose, CA",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
"Armada Group, Inc.","Santa Cruz, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Connor Group,"Santa Clara, CA",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
SLAC National Accelerator Laboratory,"Menlo Park, CA",1001 to 5000 employees,Government,Federal Agencies,Government
E Base Technologies,"Fremont, CA",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
ATUM,"North York, Canada",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Matroid,"Palo Alto, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Dew Software,"Fremont, CA",51 to 200 employees,Company - Private,IT Services,Information Technology
Toyota Research Institute,"Los Altos, CA",201 to 500 employees,Subsidiary or Business Segment,Research & Development,Business Services
Verseon,"Fremont, CA",51 to 200 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Lily AI,"Mountain View, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Sandia National Laboratories,"Albuquerque, NM",10000+ employees,Government,Federal Agencies,Government
Tailored Brands,"Fremont, CA",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Moveworks,"Mountain View, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Walmart,"Bentonville, AR",1001 to 5000 employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Gosvea,"San Jose, CA",1 to 50 employees,School / School District,Education Training Services,Education
Equinix,"Redwood City, CA",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Jade Global,"San Jose, CA",501 to 1000 employees,Company - Private,IT Services,Information Technology
"US Tech Solutions, Inc","Edison, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Wider Circle,"Redwood City, CA",1 to 50 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
"Iconma, L.L.C.","Troy, MI",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Artech LLC,"Morristown, NJ",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
Cadence Design Systems,"San Jose, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Bigfoot Biomedical,"Milpitas, CA",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Zynga,"San Francisco, CA",1001 to 5000 employees,Company - Public,Video Games,Media
Dun & Bradstreet,"Short Hills, NJ",1001 to 5000 employees,Company - Public,IT Services,Information Technology
AlertMedia,"Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Mott MacDonald,"Croydon, United Kingdom",10000+ employees,Company - Private,Architectural & Engineering Services,Business Services
The Zebra,"Austin, TX",51 to 200 employees,Company - Private,Insurance Agencies & Brokerages,Insurance
SciPlay,"Cedar Falls, IA",201 to 500 employees,Company - Public,Video Games,Media
Whole Foods Market,"Austin, TX",10000+ employees,Company - Public,Grocery Stores & Supermarkets,Retail
CloudFlare,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
Applied Research Laboratories,"Austin, TX",501 to 1000 employees,College / University,Colleges & Universities,Education
Applied Information Sciences,"Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Microsoft,"Redmond, WA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Texas Health & Human Services Commission,"Austin, TX",10000+ employees,Government,State & Regional Agencies,Government
Federal Data Systems,"Linthicum, MD",1 to 50 employees,Contract,IT Services,Information Technology
Indeed,"Austin, TX",10000+ employees,Company - Private,Internet,Information Technology
NGENERA CORPORATION,"Houston, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Blackbaud,"Charleston, SC",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
Enview,"San Francisco, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
TaskRabbit,"San Francisco, CA",201 to 500 employees,Company - Private,Internet,Information Technology
Clockwork Solutions,"Austin, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
CognitiveScale,"Austin, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Signature Science,"Austin, TX",51 to 200 employees,Company - Private,Consulting,Business Services
Assembly,"Santa Monica, CA",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services
The University of Texas at Austin,"Austin, TX",10000+ employees,College / University,Colleges & Universities,Education
RunTitle,"Austin, TX",1 to 50 employees,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities"
Pushnami,"Austin, TX",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
NxStage,"Lawrence, MA",1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing
Oracle,"Redwood City, CA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
KGS,"New York, NY",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
Cubic,"San Diego, CA",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Fresenius Medical Care,"Bad Homburg vor der Hohe, Germany",10000+ employees,Company - Public,Health Care Products Manufacturing,Manufacturing
EDGE10 Group,"London, United Kingdom",1 to 50 employees,Company - Private,Internet,Information Technology
Mastercard,"Purchase, NY",10000+ employees,Company - Public,Financial Transaction Processing,Finance
Simplex,"Austin, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Central Health,"Austin, TX",51 to 200 employees,Government,Health Care Services & Hospitals,Health Care
Lightspeed Systems,"Austin, TX",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Cirrus Logic,"Austin, TX",1001 to 5000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Samsung Electronics,"Suwon, South Korea",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
TxDOT,"Austin, TX",10000+ employees,Government,State & Regional Agencies,Government
"Ultra Electronics, Advanced Tactical Systems","London, United Kingdom",1001 to 5000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Santanna Energy Services,"Austin, TX",1 to 50 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
Clinicient,"Portland, OR",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
OnlineMedEd,"Austin, TX",51 to 200 employees,Company - Private,Colleges & Universities,Education
Spectrum,"Stamford, CT",10000+ employees,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications
ISHPI Information Technologies,"Mount Pleasant, SC",201 to 500 employees,Company - Private,IT Services,Information Technology
ARDOR IT SOLUTIONS,"Charlotte, NC",51 to 200 employees,Company - Private,IT Services,Information Technology
Wargaming,"Nicosia, Cyprus",1001 to 5000 employees,Company - Private,Video Games,Media
Scientific Games,"Las Vegas, NV",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology
Arm,"Cambridge, United Kingdom",5001 to 10000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
SAS,"Cary, NC",10000+ employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Phunware, Inc","Austin, TX",51 to 200 employees,Company - Public,Computer Hardware & Software,Information Technology
Ascension,"Saint Louis, MO",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Samsung Electronics America Inc,"Ridgefield Park, NJ",1001 to 5000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
LawnStarter,"Austin, TX",1 to 50 employees,Company - Private,Internet,Information Technology
Bazaarvoice,"Austin, TX",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
TalentCare,"Austin, TX",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
Time Warner Cable,"New York, NY",10000+ employees,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media
"Treehouse Technology Group, LLC","Austin, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
"Spruce Services, Inc","Greenville, SC",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services
Wellcare,"Tampa, FL",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance
Staffing Technologies,"Alpharetta, GA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Healthgrades,"Denver, CO",501 to 1000 employees,Company - Private,Internet,Information Technology
SIERA.AI,"Austin, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
FireEye Inc,"Milpitas, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
SAS Institute,"Cary, NC",10000+ employees,Company - Private,Computer Hardware & Software,Information Technology
University of Texas at Austin,"Austin, TX",10000+ employees,College / University,Colleges & Universities,Education
"EtiVenture, Inc.","Seattle, WA",1 to 50 employees,Company - Private,Consulting,Business Services
Uplink Talent Solutions,"Boston, MA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
General Assembly,"New York, NY",501 to 1000 employees,Company - Private,Education Training Services,Education
Cloudflare,"San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology
Ethos,"Yardley, PA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Octo Consulting Group,"Reston, VA",501 to 1000 employees,Company - Private,Consulting,Business Services
WorldQuant,"Old Greenwich, CT",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance
Dimensional Fund Advisors,"Austin, TX",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
OBXtek,"McLean, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
IPT Associates,"Billerica, MA",51 to 200 employees,Company - Private,Consulting,Business Services
Procore Technologies,"Carpinteria, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology
Samsung Austin Semiconductor,"Austin, TX",1001 to 5000 employees,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing
Teacher Retirement System of Texas,"Austin, TX",501 to 1000 employees,Government,Investment Banking & Asset Management,Finance
Texas Water Development Board,"Austin, TX",201 to 500 employees,Government,State & Regional Agencies,Government
Federal Data Systems Inc,"Linthicum, MD",1 to 50 employees,Contract,IT Services,Information Technology
ForgeRock,"San Francisco, CA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Seven Seven Softwares,"Rockaway, NJ",201 to 500 employees,Company - Public,IT Services,Information Technology
Vsion Technologies Inc,"Cedar Park, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Superior HealthPlan,"Austin, TX",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
MedSeek,"Hoover, AL",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
E2open,"Austin, TX",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Saicon Consultants Inc.,"Overland Park, KS",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
NRCCUA,"Austin, TX",51 to 200 employees,Company - Private,Education Training Services,Education
"ARK Solutions, Inc.","Gainesville, VA",1 to 50 employees,Company - Private,Consulting,Business Services
Sonic Healthcare USA,"Macquarie Park, Australia",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Unizin,"Austin, TX",1 to 50 employees,Nonprofit Organization,Colleges & Universities,Education
"Latitude, Inc.","Hanover, MD",1 to 50 employees,Company - Private,Consulting,Business Services
pddninc.net,"Fremont, CA",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
"SAS Institute, Inc","Cary, NC",10000+ employees,Company - Private,Computer Hardware & Software,Information Technology
General Dynamics,"Reston, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
Texas Education Agency,"Austin, TX",501 to 1000 employees,Government,State & Regional Agencies,Government
Aceable,"Austin, TX",51 to 200 employees,Company - Private,Education Training Services,Education
Onnit,"Austin, TX",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
911 Datamaster Inc,"Overland Park, KS",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Ethos Life,"San Francisco, CA",51 to 200 employees,Company - Private,Internet,Information Technology
Hyliion,"Cedar Park, TX",1 to 50 employees,Company - Private,Trucking,Transportation & Logistics
TEXAS EDUCATION AGENCY,"Austin, TX",501 to 1000 employees,Government,State & Regional Agencies,Government
Bright Health,"Minneapolis, MN",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care
Worldwide Clinical Trials,"Morrisville, NC",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
LPL Financial,"Boston, MA",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance
"Austin Staffing, Inc.","Austin, TX",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Ademco Inc.,"Melville, NY",501 to 1000 employees,Company - Private,Wholesale,Business Services
Dutech Systems Inc,"Reading, MA",51 to 200 employees,Company - Private,IT Services,Information Technology
SAIC,"Reston, VA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
"Universal Solutions International, Inc.","Newport News, VA",51 to 200 employees,Company - Private,Aerospace & Defense,Aerospace & Defense
